Title,Release Date,Run Time,MPAA Film Rating,Rating,Genres,Webpage
The Alto Knights,2025,2h 3m,R,5.7,"['Docudrama', 'Gangster', 'Period Drama', 'True Crime', 'Biography', 'Crime', 'Drama', 'History']",https://www.imdb.com/title/tt21815562/?ref_=chtmvm_i_65
Oppenheimer,2023,3h,R,8.3,"['Docudrama', 'Epic', 'Historical Epic', 'Period Drama', 'Psychological Drama', 'Biography', 'Drama', 'History']",https://www.imdb.com/title/tt15398776/?ref_=chtmvm_i_66
Interstellar,2014,2h 49m,PG-13,8.7,"['Adventure Epic', 'Epic', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Time Travel', 'Adventure', 'Drama', 'Sci-Fi']",https://www.imdb.com/title/tt0816692/?ref_=chtmvm_i_67
Kraven the Hunter,2024,2h 7m,R,5.5,"['One-Person Army Action', 'Superhero', 'Action', 'Adventure', 'Thriller']",https://www.imdb.com/title/tt8790086/?ref_=chtmvm_i_68
Life or Something Like It,2002,1h 43m,PG-13,5.8,"['Romantic Comedy', 'Comedy', 'Romance']",https://www.imdb.com/title/tt0282687/?ref_=chtmvm_i_69
Gladiator,2000,2h 35m,R,8.5,"['Action Epic', 'Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama']",https://www.imdb.com/title/tt0172495/?ref_=chtmvm_i_70
Den of Thieves: Pantera,2025,2h 24m,R,6.3,"['Heist', 'Action', 'Crime', 'Drama', 'Thriller']",https://www.imdb.com/title/tt8008948/?ref_=chtmvm_i_71
The Godfather,1972,2h 55m,R,9.2,"['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']",https://www.imdb.com/title/tt0068646/?ref_=chtmvm_i_72
The Odyssey,2026,,,,"['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Historical Epic', 'Action', 'Adventure', 'Fantasy', 'History']",https://www.imdb.com/title/tt33764258/?ref_=chtmvm_i_73
Hell of a Summer,2023,1h 28m,R,5.5,"['Dark Comedy', 'Slasher Horror', 'Whodunnit', 'Comedy', 'Horror', 'Mystery']",https://www.imdb.com/title/tt21267296/?ref_=chtmvm_i_74
Heads of State,2025,PG-13,,,"['Action', 'Thriller']",https://www.imdb.com/title/tt13357520/?ref_=chtmvm_i_75
How to Train Your Dragon,2025,2h 5m,PG,,"['Sword & Sorcery', 'Teen Adventure', 'Teen Fantasy', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",https://www.imdb.com/title/tt26743210/?ref_=chtmvm_i_76
Dazed and Confused,1993,1h 43m,R,7.6,"['Coming-of-Age', 'Stoner Comedy', 'Teen Comedy', 'Comedy']",https://www.imdb.com/title/tt0106677/?ref_=chtmvm_i_77
Wolf Man,2025,1h 43m,R,5.6,"['Body Horror', 'Werewolf Horror', 'Horror']",https://www.imdb.com/title/tt4216984/?ref_=chtmvm_i_78
V for Vengeance,2022,1h 26m,R,4.1,"['Action', 'Adventure', 'Horror', 'Thriller']",https://www.imdb.com/title/tt15745084/?ref_=chtmvm_i_79
Lilo & Stitch,2025,1h 48m,PG,,"['Alien Invasion', 'Buddy Comedy', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",https://www.imdb.com/title/tt11655566/?ref_=chtmvm_i_80
The Wild Robot,2024,1h 42m,PG,8.2,"['Artificial Intelligence', 'Computer Animation', 'Survival', 'Animation', 'Sci-Fi']",https://www.imdb.com/title/tt29623480/?ref_=chtmvm_i_81
Speak No Evil,2024,1h 50m,R,6.8,"['Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Drama', 'Horror', 'Thriller']",https://www.imdb.com/title/tt27534307/?ref_=chtmvm_i_82
Neighborhood Watch,2025,1h 32m,R,6.1,"['Crime', 'Thriller']",https://www.imdb.com/title/tt1714918/?ref_=chtmvm_i_83
Heat,1995,2h 50m,R,8.3,"['Action Epic', 'Cop Drama', 'Epic', 'Gangster', 'Heist', 'Action', 'Crime', 'Drama']",https://www.imdb.com/title/tt0113277/?ref_=chtmvm_i_84
Trap,2024,1h 45m,PG-13,5.8,"['Psychological Horror', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Horror', 'Mystery', 'Thriller']",https://www.imdb.com/title/tt26753003/?ref_=chtmvm_i_85
Jurassic World Rebirth,2025,2h 14m,PG-13,,"['Dinosaur Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",https://www.imdb.com/title/tt31036941/?ref_=chtmvm_i_86
