Title,Release Date,Run Time,MPAA Film Rating,Rating,Genres,Webpage
Captain America: Brave New World,2025,1h 58m,PG-13,5.8,Adventure,https://www.imdb.com/title/tt14513804/?ref_=chtmvm_i_28
Captain America: Brave New World,2025,1h 58m,PG-13,5.8,Sci-Fi,https://www.imdb.com/title/tt14513804/?ref_=chtmvm_i_28
Gladiator II,2024,2h 28m,R,6.5,Action Epic,https://www.imdb.com/title/tt9218128/?ref_=chtmvm_i_29
Gladiator II,2024,2h 28m,R,6.5,Adventure Epic,https://www.imdb.com/title/tt9218128/?ref_=chtmvm_i_29
Gladiator II,2024,2h 28m,R,6.5,Epic,https://www.imdb.com/title/tt9218128/?ref_=chtmvm_i_29
Gladiator II,2024,2h 28m,R,6.5,Period Drama,https://www.imdb.com/title/tt9218128/?ref_=chtmvm_i_29
Gladiator II,2024,2h 28m,R,6.5,Sword & Sandal,https://www.imdb.com/title/tt9218128/?ref_=chtmvm_i_29
Gladiator II,2024,2h 28m,R,6.5,Action,https://www.imdb.com/title/tt9218128/?ref_=chtmvm_i_29
Gladiator II,2024,2h 28m,R,6.5,Adventure,https://www.imdb.com/title/tt9218128/?ref_=chtmvm_i_29
Gladiator II,2024,2h 28m,R,6.5,Drama,https://www.imdb.com/title/tt9218128/?ref_=chtmvm_i_29
Pride & Prejudice,2005,2h 9m,PG,7.8,Costume Drama,https://www.imdb.com/title/tt0414387/?ref_=chtmvm_i_30
Pride & Prejudice,2005,2h 9m,PG,7.8,Feel-Good Romance,https://www.imdb.com/title/tt0414387/?ref_=chtmvm_i_30
Pride & Prejudice,2005,2h 9m,PG,7.8,Period Drama,https://www.imdb.com/title/tt0414387/?ref_=chtmvm_i_30
Pride & Prejudice,2005,2h 9m,PG,7.8,Romantic Epic,https://www.imdb.com/title/tt0414387/?ref_=chtmvm_i_30
Pride & Prejudice,2005,2h 9m,PG,7.8,Drama,https://www.imdb.com/title/tt0414387/?ref_=chtmvm_i_30
Pride & Prejudice,2005,2h 9m,PG,7.8,Romance,https://www.imdb.com/title/tt0414387/?ref_=chtmvm_i_30
The Order,2024,1h 56m,R,6.8,Heist,https://www.imdb.com/title/tt26625693/?ref_=chtmvm_i_31
The Order,2024,1h 56m,R,6.8,True Crime,https://www.imdb.com/title/tt26625693/?ref_=chtmvm_i_31
The Order,2024,1h 56m,R,6.8,Crime,https://www.imdb.com/title/tt26625693/?ref_=chtmvm_i_31
The Order,2024,1h 56m,R,6.8,Drama,https://www.imdb.com/title/tt26625693/?ref_=chtmvm_i_31
The Order,2024,1h 56m,R,6.8,Thriller,https://www.imdb.com/title/tt26625693/?ref_=chtmvm_i_31
Freaky Tales,2024,1h 47m,R,6.3,Action,https://www.imdb.com/title/tt21942598/?ref_=chtmvm_i_32
Freaky Tales,2024,1h 47m,R,6.3,Adventure,https://www.imdb.com/title/tt21942598/?ref_=chtmvm_i_32
Freaky Tales,2024,1h 47m,R,6.3,Comedy,https://www.imdb.com/title/tt21942598/?ref_=chtmvm_i_32
Freaky Tales,2024,1h 47m,R,6.3,Crime,https://www.imdb.com/title/tt21942598/?ref_=chtmvm_i_32
Freaky Tales,2024,1h 47m,R,6.3,Drama,https://www.imdb.com/title/tt21942598/?ref_=chtmvm_i_32
The Passion of the Christ,2004,2h 7m,R,7.2,Epic,https://www.imdb.com/title/tt0335345/?ref_=chtmvm_i_33
The Passion of the Christ,2004,2h 7m,R,7.2,Period Drama,https://www.imdb.com/title/tt0335345/?ref_=chtmvm_i_33
The Passion of the Christ,2004,2h 7m,R,7.2,Drama,https://www.imdb.com/title/tt0335345/?ref_=chtmvm_i_33
A Complete Unknown,2024,2h 21m,R,7.4,Docudrama,https://www.imdb.com/title/tt11563598/?ref_=chtmvm_i_34
A Complete Unknown,2024,2h 21m,R,7.4,Period Drama,https://www.imdb.com/title/tt11563598/?ref_=chtmvm_i_34
A Complete Unknown,2024,2h 21m,R,7.4,Showbiz Drama,https://www.imdb.com/title/tt11563598/?ref_=chtmvm_i_34
A Complete Unknown,2024,2h 21m,R,7.4,Biography,https://www.imdb.com/title/tt11563598/?ref_=chtmvm_i_34
A Complete Unknown,2024,2h 21m,R,7.4,Drama,https://www.imdb.com/title/tt11563598/?ref_=chtmvm_i_34
A Complete Unknown,2024,2h 21m,R,7.4,Music,https://www.imdb.com/title/tt11563598/?ref_=chtmvm_i_34
The Life List,2025,2h 3m,PG-13,6.8,Feel-Good Romance,https://www.imdb.com/title/tt2172954/?ref_=chtmvm_i_35
The Life List,2025,2h 3m,PG-13,6.8,Romantic Comedy,https://www.imdb.com/title/tt2172954/?ref_=chtmvm_i_35
The Life List,2025,2h 3m,PG-13,6.8,Comedy,https://www.imdb.com/title/tt2172954/?ref_=chtmvm_i_35
The Life List,2025,2h 3m,PG-13,6.8,Drama,https://www.imdb.com/title/tt2172954/?ref_=chtmvm_i_35
The Life List,2025,2h 3m,PG-13,6.8,Romance,https://www.imdb.com/title/tt2172954/?ref_=chtmvm_i_35
Bullet Train Explosion,2025,2h 14m,TV-14,6.3,Disaster,https://www.imdb.com/title/tt33452974/?ref_=chtmvm_i_36
